Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,534643,509014,1043657
5-9,535170,510429,1045599
10-14,517080,485428,1002508
15-19,519916,489235,1009151
20-24,538182,510711,1048893
25-29,532244,509196,1041440
30-34,524957,508073,1033030
35-39,493128,480135,973263
40-44,455088,446577,901665
45-49,398201,389864,788065
50-54,330881,319612,650493
55-59,263483,252441,515924
60-64,190527,179087,369614
65-69,128917,122137,251054
70-74,56034,60347,116381
75+,51820,62005,113825
Banten,6070271,5834291,11904562
