Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,494.5,474.7,969.2
5-9,529.7,505.3,1035.1
10-14,531.3,507.4,1038.7
15-19,512.4,482.1,994.5
20-24,511.3,482.9,994.2
25-29,528.8,503.4,1032.3
30-34,524.1,503.5,1027.6
35-39,517.4,501.5,1019
40-44,485,473.8,958.7
45-49,445.5,440,885.6
50-54,386.1,382.1,768.2
55-59,315.3,310.7,626
60-64,244.5,241.8,486.3
65-69,169.5,166.7,336.2
70-74,106.7,107.7,214.4
75+,67.6,84,151.6
Jumlah/Total,6369.7,6167.7,12537.4
