Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Pandeglang,1326,1.1,10.67,478,105
Lebak,1449.2,1.18,11.66,438,105.7
Tangerang,3400.5,1.25,27.35,3309,104.1
Serang,1701.8,1.28,13.69,1158,104.2
Kota Tangerang,1964,0.95,15.8,11012,101.6
Kota Cilegon,455.6,1.25,3.67,2804,102.7
Kota Serang,734.9,1.61,5.91,2765,104.2
Kota Tangerang Selatan,1399.5,0.88,11.26,8489,99.5
Banten,12431.4,1.16,100,1329,103.4
,,,,,
Catatan,,,,,
Hasil Proyeksi Penduduk Indonesia 2020–2050 Hasil Sensus Penduduk 2020 (Pertengahan tahun/Juni)/<i>The result of 2020–2050 Indonesia population projection result of 2020 Population Census (mid year/June)</i>Laju pertumbuhan penduduk dihitung berdasarkan penduduk tahun 2020 (September) dibandingkan dengan penduduk tahun 2024 (Juni)/<i>The growth rate refers to the change of the population in 2020 (September) to the population in 2024 (June)</i>,,,,,
