Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Pandeglang,1338.4,1.07,10.67,483,104.9
Lebak,1463.8,1.14,11.68,442,105.6
Tangerang,3435.2,1.2,27.4,3342,104
Serang,1720.3,1.24,13.72,1170,104.1
Kota Tangerang,1971.7,0.83,15.73,11055,101.4
Kota Cilegon,460.4,1.21,3.67,2833,102.5
Kota Serang,745.6,1.58,5.95,2805,104.1
Kota Tangerang Selatan,1402.2,0.73,11.18,8505,99.3
Banten,12537.4,1.1,100,1341,103.3
,,,,,
Catatan,,,,,
Hasil Proyeksi Penduduk Indonesia 2020–2050 Hasil Sensus Penduduk 2020 (Pertengahan tahun/Juni)<i>/The result of 2020–2050 Indonesia population projection result of 2020 Population Census (mid year/June)</i>Laju Pertumbuhan penduduk dihitung berdasarkan penduduk tahun 2020 (September) dibandingkan dengan penduduk tahun 2025 (Juni)/<i>The growth rate refers to the change of the population in 2020 (September) to the population in 2025 (June),,,,,
 ,,,,,
</i>,,,,,
