Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Pandeglang,1312.8,1.13,10.67,474,105.1
Lebak,1433.7,1.22,11.65,433,105.8
Tangerang,3362.6,1.3,27.32,3272,104.3
Serang,1682.1,1.32,13.67,1144,104.4
Kota Tangerang,1950.6,1.05,15.85,10937,101.8
Kota Cilegon,450.5,1.29,3.66,2772,102.8
Kota Serang,723.8,1.64,5.88,2723,104.3
Kota Tangerang Selatan,1391.6,0.99,11.31,8441,99.8
Banten,12307.7,1.22,100,1316,103.6
,,,,,
Catatan,,,,,
Hasil Proyeksi Penduduk Indonesia 2020–2050 Hasil Sensus Penduduk 2020 (Pertengahan tahun/Juni)/The result of2020–2050,,,,,
Indonesia population projection result of 2020 Population Census (mid year/June),,,,,
