Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Pandeglang,1211.9,0.54,9.37,441,104.2
Lebak,1302.6,0.83,10.08,380,104.9
Tangerang,3800.8,3.24,29.4,3756,104.5
Serang,1508.4,0.76,11.67,870,102.7
Kota Tangerang,2229.9,2.35,17.25,14486,104
Kota Cilegon,437.2,1.68,3.38,2491,104.1
Kota Serang,688.6,1.91,5.33,2582,104.9
Kota Tangerang Selatan,1747.9,3.36,13.52,11875,101.3
Banten,12927.3,2.14,100,1338,103.8
,,,,,
Catatan,,,,,
<sup>1 </sup>Hasil SP2010 (Mei)/<i>The result of the 2010 Population Census (May)</i><sup>2</sup> Hasil Proyeksi Penduduk Indonesia 2010–2035 (Pertengahan tahun/juni) /<i> The result of Indonesia Population 2010-2035 (mid year/june)</i>,,,,,
